"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32"
"1278","","champion","denver","nuggets","improve","chicago","bulls","","","","","yqsihbdswk","","","","","","","","","","","","","","","","","","","",""
"1279","","season","","","bteygjuxfu","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1280","maxgarsh","","loading","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1281","know","kind","watches","kobe","bryant","gave","beat","gift","stephen","curry","promised","sportsrush","","","","","","","","","","","","","","","","","","","",""
"1282","","power","rankings","steph","curry's","historic","month","lifts","warriors","sports","illustrated","","","aaeqbrrcmg","","","","","","","","","","","","","","","","","",""
"1283","","award","predictions","","paul","george","steph","","jalen","suggs","dpoy","","simmons","","jordan","poole","","billy","donovan","","","dmills_hoh","","thoughts","","","","","","","",""
"1284","","","champ","nets","improved","teams","bulls","","","","","","","","","","","","","","","","","","","","","","","","",""
"1285","player","","history","","","season","","finals","","","first","team","defense","first","team","scoring","title","season","","","twice","without","star","teammate","","","","","","","",""
"1286","","","champs","warriors","finals","","curry","season","","curry","roty","kuminga","cade","dpoy","giannis","","","","rose","","","","","","","","","","","","",""
"1287","","","","discover","actually","draymond","discovered","euroleague","","","besides","played","already","mvps","career","still","active","","doncic","bjelica","","","","","","","","","","","",""
"1288","superbone","","kyrie","time","star","kevin","love","time","star","wade","finals","","","team","scoring","finals","also","lebron","left","took","team","game","conference","semis","bosh","time","star","westbrook","","time","star","time"
"1289","","make","sure","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1290","joyeux","","","","","pads","","","","","hall","famer","champion","","finals","","star","","","team","","","","","","","","","","","",""
"1291","team","better","rajon","rondo","russel","westbrook","skip","bayless","recommends","lebron","james","sportsrush","","","","","","","","","","","","","","","","","","","",""
"1292","","time","","winner","five","time","star","","","champion","giannis","","remarkable","rise","","","t'ruddy","","","used","sell","stuff","int'street","","","never","","t'ruddy","","","t'ruddy","table"
"1293","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1294","team","better","rajon","rondo","russel","westbrook","skip","bayless","recommends","lebron","james","sportsrush","","","","","","","","","","","","","","","","","","","",""
"1295","","time","","winner","five","time","star","","","champion","giannis","","remarkable","rise","","","","used","sell","stuff","street","","never","","","table","","","","","",""
"1296","retardcaieb","jjxrry","washwizards","kylekuzma","easy","first","team","","usage","rate","","next","highest","player","league","doesnt","average","","","good","averages","","takes","shots","oilers","guaranteed","playoff","spot","best","players","world","oilers"
"1297","actually","","fraud","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1298","","jjxrry","washwizards","kylekuzma","","horrific","takes","beal","","team","","star","","league","ratio","bozo","another","losing","oilers","season","coming","soon","","","","","","","","","",""
"1299","kbsgoat","think","sometimes","","everyone","know","kobe","","shaq","","superstars","know","body","","short","skinny","white","","canada","dominating","","","better","stevenash","","","","","","","",""
"1300","espnnba","","payton","phoenix","looks","starter","suns","looks","","like","late","great","","bias","","","payton","","game","","rookie","","","curry","","outstanding","baller","payton","","","left","well"
"1301","look","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1302","delusional","things","","fans","","","pippen","first","team","","first","team","defence","","point","","player","","player","","","","candidate","fucks","sake","","","cfnzqocvnq","","","",""
"1303","","","champs","brooklyn","nets","finals","","james","harden","season","","james","harden","roty","cunningham","dpoy","rudy","gobert","","","alex","carusso","","deandre","jordan","","","","","","",""
"1304","","prediction","cards","","kevin","durant","dpoy","","adebayo","","scottie","barnes","","billy","donovan","","malik","monk","","","anunoby","leading","scorer","stephen","curry","champion","lakers","runner","miami","","team","dallas"
"1305","surprising","team","chicago","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1306","jayson","tatum","future","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1307","","warriors","time","","champ","time","finals","","goat","king","warmup","drills","","","","","","","","","","","","","","","","","","","",""
"1308","first","ever","","unanimous","","","champ","","time","pointers","made","behind","","allen","","","valuable","player","","","star","","","selection","rookie","first","team","","three","point","field","goals"
"1309","leader","curry","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1310","","","","steph","curry","","","jordan","clarkson","","jordan","poole","dpoy","gobert","simmons","","green","mobley","","","","","","","","","","","","","",""
"1311","","","","steph","curry","watch","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1312","","","poole","","clarkson","","giannis","","","","","","","","","","","","","","","","","","","","","","","","",""
"1313","","award","predictions","season","starts","","steph","curry","came","late","last","year","","","convo","steph","","swagger","back","","trey","murphy","zion","looking","like","","miss","time","foot","injury","linger",""
"1314","take","shot","murphy","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1315","_talkin_nba","","","durant","winning","","especially","since","kyrie","","gonna","average","","","finish","east","","","","","","","","","","","","","","","",""
"1316","","rookie","year","defensive","player","year","","finals","","averaged","triple","double","regular","season","post","season","rookie","","team","defensive","","team","lead","grizzlies","first","ever","finals","appearance","became","","champions",""
"1317","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1318","","russ","many","","first","second","teams","russ","","russ","gold","medal","london","olympics","russ","","star","russ","","beal","","","","","","","","","","","",""
"1319","","","champs:lakers","finals","mvp:lebron","season","mvp:luka","roty:cade","dpoy:giannis","","","clarkson","mip:lonzo","","","","","","","","","","","","","","","","","","",""
"1320","","kylekuzma","","","season","francopoffo","","","","","","","","","","","","","","","","","","","","","","","","","",""
